PING 133.11.11.11 (133.11.11.11) 56(84) bytes of data.
64 bytes from 133.11.11.11: icmp_seq=292 ttl=42 time=519 ms
64 bytes from 133.11.11.11: icmp_seq=293 ttl=42 time=661 ms
64 bytes from 133.11.11.11: icmp_seq=294 ttl=42 time=548 ms
64 bytes from 133.11.11.11: icmp_seq=295 ttl=42 time=470 ms
64 bytes from 133.11.11.11: icmp_seq=296 ttl=42 time=493 ms
64 bytes from 133.11.11.11: icmp_seq=297 ttl=42 time=515 ms
64 bytes from 133.11.11.11: icmp_seq=298 ttl=42 time=485 ms
64 bytes from 133.11.11.11: icmp_seq=299 ttl=42 time=464 ms
64 bytes from 133.11.11.11: icmp_seq=300 ttl=42 time=486 ms

--- 133.11.11.11 ping statistics ---
300 packets transmitted, 299 received, 0.333333% packet loss, time 299137ms
rtt min/avg/max/mdev = 181.730/409.537/846.706/135.497 ms
