PING 130.149.17.21 (130.149.17.21) 56(84) bytes of data.
64 bytes from 130.149.17.21: icmp_seq=169 ttl=43 time=252 ms
64 bytes from 130.149.17.21: icmp_seq=170 ttl=43 time=273 ms
64 bytes from 130.149.17.21: icmp_seq=171 ttl=43 time=272 ms
64 bytes from 130.149.17.21: icmp_seq=172 ttl=43 time=320 ms
64 bytes from 130.149.17.21: icmp_seq=173 ttl=43 time=343 ms
64 bytes from 130.149.17.21: icmp_seq=174 ttl=43 time=264 ms
64 bytes from 130.149.17.21: icmp_seq=175 ttl=43 time=287 ms
64 bytes from 130.149.17.21: icmp_seq=176 ttl=43 time=412 ms
64 bytes from 130.149.17.21: icmp_seq=177 ttl=43 time=333 ms
64 bytes from 130.149.17.21: icmp_seq=178 ttl=43 time=458 ms
64 bytes from 130.149.17.21: icmp_seq=179 ttl=43 time=380 ms
64 bytes from 130.149.17.21: icmp_seq=180 ttl=43 time=302 ms
64 bytes from 130.149.17.21: icmp_seq=181 ttl=43 time=175 ms
64 bytes from 130.149.17.21: icmp_seq=182 ttl=43 time=261 ms
64 bytes from 130.149.17.21: icmp_seq=183 ttl=43 time=474 ms
64 bytes from 130.149.17.21: icmp_seq=184 ttl=43 time=196 ms
64 bytes from 130.149.17.21: icmp_seq=185 ttl=43 time=257 ms
64 bytes from 130.149.17.21: icmp_seq=186 ttl=43 time=237 ms
64 bytes from 130.149.17.21: icmp_seq=187 ttl=43 time=313 ms
64 bytes from 130.149.17.21: icmp_seq=188 ttl=43 time=297 ms
64 bytes from 130.149.17.21: icmp_seq=189 ttl=43 time=206 ms
64 bytes from 130.149.17.21: icmp_seq=190 ttl=43 time=175 ms
64 bytes from 130.149.17.21: icmp_seq=191 ttl=43 time=253 ms
64 bytes from 130.149.17.21: icmp_seq=192 ttl=43 time=178 ms
64 bytes from 130.149.17.21: icmp_seq=193 ttl=43 time=320 ms
64 bytes from 130.149.17.21: icmp_seq=194 ttl=43 time=323 ms
64 bytes from 130.149.17.21: icmp_seq=195 ttl=43 time=246 ms
64 bytes from 130.149.17.21: icmp_seq=196 ttl=43 time=232 ms
64 bytes from 130.149.17.21: icmp_seq=197 ttl=43 time=290 ms
64 bytes from 130.149.17.21: icmp_seq=198 ttl=43 time=484 ms
64 bytes from 130.149.17.21: icmp_seq=199 ttl=43 time=407 ms
64 bytes from 130.149.17.21: icmp_seq=200 ttl=43 time=348 ms
64 bytes from 130.149.17.21: icmp_seq=201 ttl=43 time=437 ms
64 bytes from 130.149.17.21: icmp_seq=202 ttl=43 time=206 ms
64 bytes from 130.149.17.21: icmp_seq=203 ttl=43 time=329 ms
64 bytes from 130.149.17.21: icmp_seq=204 ttl=43 time=217 ms
64 bytes from 130.149.17.21: icmp_seq=205 ttl=43 time=254 ms
64 bytes from 130.149.17.21: icmp_seq=206 ttl=43 time=195 ms
